CRR_Year,TDM
1993,0.775991806
1994,0.234273875
1995,0.406542074
1996,0.073410469
1997,0.357267942
1998,0.101978022
1999,0.080394187
2000,0.106368451
2001,0.029476444
2002,0.017150065
2003,0.1701077
2004,0.080927831
2005,0.016968773
2006,0.01227887
2007,0.387248773
2008,0.056840783
2009,0.002720156
2010,0.07963194
2011,0.452975633
2012,0.231679506
2013,7.40E-05
2014,0
2015,0
2016,0.12238658
2017,0.772862928
2018,0.855945627
2019,0.019008638
2020,0
2021,0.000946997
2022,0.037794704
